all_slang,tokens
kesejahteraan,['kesejahteraan']
tak,['tak']
oleh,['oleh']
para,['para']
spekulan,['spekulan']
saham,['saham']
atau,['atau']
majikan,['majikan']
seperti,['seperti']
yang,['yang']
banyak,['banyak']
media,['media']
menghadapi,['menghadapi']
kondisi,['kondisi']
kerja,['kerja']
buruk,['buruk']
dan,['dan']
menerima,['menerima']
pemasukan,['pemasukan']
tidak,['tidak']
,[]
on,['on']
saham,['saham']
nih,['nih']
kompak,['kompak']
warna,['warna']
jadi,['jadi']
merah,['merah']
kan,['kan']
arti,['arti']
merah,['merah']
,[]
,[]
rek,['rek']
kalo,['kalo']
mau,['mau']
di,['di']
saham,['saham']
aplikasi,['aplikasi']
apa,['apa']
ya,['ya']
biasanya,['biasanya']
,[]
akan,['akan']
penambahan,['penambahan']
pegangan,['pegangan']
saham,['saham']
mereka,['mereka']
di,['di']
dalam,['dalam']
dalam,['dalam']
masa,['masa']
terdekat,['terdekat']
berkata,['berkata']
kini,['kini']
masih,['masih']
lagi,['lagi']
berunding,['berunding']
bersama,['bersama']
pihak,['pihak']
dan,['dan']
saham,['saham']
syariah,['syariah']
,[]
,[]
,[]
minta,['minta']
saham,['saham']
perusahaan,['perusahaan']
papa,['papa']
kamu,['kamu']
to,['to']
saham,['saham']
buat,['buat']
jangka,['jangka']
panjang,['panjang']
dong,['dong']
dan,['dan']
apa,['apa']
ya,['ya']
masih,['masih']
profesional,['profesional']
sih,['sih']
itu,['itu']
negatif,['negatif']
tinggi,['tinggi']
,[]
bung,['bung']
towel,['towel']
